feedback_id,client_id,received_at,rating,nps_score,comment,service,resolved
F051,C009,2026-05-23T18:15:00,4,8,"Good batch, the colours came out exactly right.",Auto-Rickshaw Hood Branding,False
F052,C005,2026-05-24T09:50:00,4,9,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F053,C003,2026-05-26T10:50:00,4,7,Board went up on schedule and looks sharp from the road.,Hoarding / Billboard Advertising,False
F054,C003,2026-05-26T15:25:00,3,4,"Reasonable job overall, communication is the weak point.",Hoarding / Billboard Advertising,True
F055,C004,2026-06-03T09:05:00,3,6,Print is acceptable but not quite the sample shade.,Hoarding / Billboard Advertising,True
F056,C003,2026-06-09T13:50:00,3,7,"Reasonable job overall, communication is the weak point.",Hoarding / Billboard Advertising,True
F057,C009,2026-06-11T14:25:00,4,7,"Quick turnaround on the panel change, thank you.",Transit (Bus) Advertising,False
F058,C009,2026-06-12T13:05:00,4,7,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F059,C009,2026-06-13T12:15:00,5,9,Rollout was on time and the count matched the order.,Auto-Rickshaw Hood Branding,False
F060,C003,2026-06-14T09:05:00,3,4,Work was fine but the updates could have been more regular.,Hoarding / Billboard Advertising,True
F061,C003,2026-06-15T09:50:00,2,5,The flex tore within a fortnight and replacement was slow.,Hoarding / Billboard Advertising,True
F062,C004,2026-06-15T11:50:00,2,4,The site was not ready on the agreed date. Second time this quarter.,Hoarding / Billboard Advertising,True
F063,C006,2026-06-16T16:05:00,4,9,Loop timing works well for our evening audience.,Digital OOH Display,False
F064,C003,2026-06-21T15:40:00,3,5,Print is acceptable but not quite the sample shade.,Hoarding / Billboard Advertising,True
F065,C009,2026-06-24T12:05:00,4,7,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F066,C009,2026-06-26T16:15:00,4,7,Panels look excellent and the routes were exactly as planned.,Transit (Bus) Advertising,False
F067,C004,2026-06-27T16:25:00,3,4,Runs fine but we would like a report on actual play counts.,Digital OOH Display,True
F068,C004,2026-06-27T16:25:00,4,8,"Good visibility on the AMTS routes, happy with this one.",Transit (Bus) Advertising,False
F069,C009,2026-07-01T15:15:00,4,8,Fitting was quick and the finish is holding up well.,Auto-Rickshaw Hood Branding,False
F070,C003,2026-07-02T11:40:00,2,3,We had to chase for the mounting photos every single day.,Hoarding / Billboard Advertising,True
F071,C006,2026-07-04T11:25:00,3,6,Runs fine but we would like a report on actual play counts.,Digital OOH Display,True
F072,C004,2026-07-05T11:15:00,4,9,Wrap quality is holding up well after a month.,Transit (Bus) Advertising,False
F073,C003,2026-07-06T17:05:00,1,0,Nobody informed us the site permit was still pending.,Hoarding / Billboard Advertising,True
F074,C009,2026-07-08T18:50:00,3,7,Design is good but a few autos were missed in the first batch.,Auto-Rickshaw Hood Branding,True
F075,C004,2026-07-12T15:25:00,3,7,Work was fine but the updates could have been more regular.,Hoarding / Billboard Advertising,True
F076,C004,2026-07-14T18:05:00,4,9,"Good visibility on the AMTS routes, happy with this one.",Transit (Bus) Advertising,False
F077,C009,2026-07-14T18:40:00,3,6,"Panels are fine, though a couple of buses went out late.",Transit (Bus) Advertising,True
F078,C004,2026-07-15T09:25:00,3,6,"Placement is good, slot timing could be better.",Digital OOH Display,True
F079,C009,2026-07-20T14:50:00,4,8,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F080,C009,2026-07-21T09:05:00,4,9,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F081,C003,2026-07-21T12:25:00,4,7,Creative looks crisp on the screen and the slot timing is good.,Digital OOH Display,False
F082,C005,2026-07-25T15:40:00,4,8,Very happy with the visibility we are getting from this.,Auto-Rickshaw Hood Branding,False
F083,C003,2026-07-27T17:15:00,4,7,"Good site selection, we are seeing walk-ins mention it.",Hoarding / Billboard Advertising,False
F084,C003,2026-08-01T14:15:00,3,7,Runs fine but we would like a report on actual play counts.,Digital OOH Display,True
F085,C009,2026-08-02T17:25:00,4,9,"Good batch, the colours came out exactly right.",Auto-Rickshaw Hood Branding,False
F086,C004,2026-08-03T15:25:00,4,7,Loop timing works well for our evening audience.,Digital OOH Display,False
F087,C004,2026-08-04T12:25:00,4,8,"Quick turnaround on the panel change, thank you.",Transit (Bus) Advertising,False
F088,C004,2026-08-05T09:05:00,3,5,"Placement is good, slot timing could be better.",Digital OOH Display,True
F089,C003,2026-08-05T13:50:00,4,9,"Excellent placement, customers have started mentioning it.",Digital OOH Display,False
F090,C004,2026-08-07T14:15:00,4,7,"Good site selection, we are seeing walk-ins mention it.",Hoarding / Billboard Advertising,False
F091,C003,2026-08-08T11:15:00,4,9,"Good site selection, we are seeing walk-ins mention it.",Hoarding / Billboard Advertising,False
F092,C006,2026-08-08T18:05:00,3,6,Runs fine but we would like a report on actual play counts.,Digital OOH Display,True
F093,C009,2026-08-12T13:15:00,5,8,Rollout was on time and the count matched the order.,Auto-Rickshaw Hood Branding,False
F094,C003,2026-08-13T09:40:00,4,8,Clean install and the photos came through the same evening.,Hoarding / Billboard Advertising,False
F095,C009,2026-08-13T10:25:00,4,9,Loop timing works well for our evening audience.,Digital OOH Display,False
F096,C009,2026-08-14T16:05:00,4,7,Fitting was quick and the finish is holding up well.,Auto-Rickshaw Hood Branding,False
F097,C009,2026-08-18T11:40:00,3,6,"Placement is good, slot timing could be better.",Digital OOH Display,True
